subject,source,type,difficulty,options,related_knowledge,document,question,answer
计算机组成原理,互联网,选择题,中等,A. 89.8\nB. 211.4\nC. 211.5\nD. 1011111.101,进制转换,题目：若十进制数为137.5，则其八进制数为（B）。\nA. 89.8\nB. 211.4\nC. 211.5\nD. 1011111.101\n答案：B. 211.4,若十进制数为137.5，则其八进制数为（）。\nA. 89.8\nB. 211.4\nC. 211.5\nD. 1011111.101,B. 211.4
计算机组成原理,互联网,选择题,简单,A. 0~65536\nB. 0~65535\nC. -32768~32767\nD. -32768~32768,数制表示范围,题目：一个16位无符号二进制数的表示范围是（B）。\nA. 0~65536\nB. 0~65535\nC. -32768~32767\nD. -32768~32768\n答案：B. 0~65535,一个16位无符号二进制数的表示范围是（）。\nA. 0~65536\nB. 0~65535\nC. -32768~32767\nD. -32768~32768,B. 0~65535
计算机组成原理,互联网,选择题,中等,A. 任何二进制整数都可以用十进制表示\nB. 任何二进制小数都可以用十进制表示\nC. 任何十进制整数都可以用二进制表示\nD. 任何十进制小数都可以用二进制表示,进制转换,题目：下列说法有误的是（D）。\nA. 任何二进制整数都可以用十进制表示\nB. 任何二进制小数都可以用十进制表示\nC. 任何十进制整数都可以用二进制表示\nD. 任何十进制小数都可以用二进制表示\n答案：D,下列说法有误的是（）。\nA. 任何二进制整数都可以用十进制表示\nB. 任何二进制小数都可以用十进制表示\nC. 任何十进制整数都可以用二进制表示\nD. 任何十进制小数都可以用二进制表示,D. 任何十进制小数都可以用二进制表示
计算机组成原理,互联网,选择题,中等,A. 原码\nB. 补码和移码\nC. 反码\nD. 以上都不对,机器数表示,题目：对真值0表示形式唯一的机器数是（B）。\nA. 原码\nB. 补码和移码\nC. 反码\nD. 以上都不对\n答案：B. 补码和移码,对真值0表示形式唯一的机器数是（）。\nA. 原码\nB. 补码和移码\nC. 反码\nD. 以上都不对,B. 补码和移码
计算机组成原理,互联网,选择题,困难,A. 1.0010101\nB. 1.0010110\nC. 0.0010110\nD. 0.1101010,补码计算,题目：若［X］补= 1.1101010，则［X］=（）。\nA. 1.0010101\nB. 1.0010110\nC. 0.0010110\nD. 0.1101010\n答案：C. 0.0010110,若［X］补= 1.1101010，则［X］=（）。\nA. 1.0010101\nB. 1.0010110\nC. 0.0010110\nD. 0.1101010,C. 0.0010110
计算机组成原理,互联网,选择题,简单,A. 15\nB. 16\nC. 255\nD. 256,原码表示范围,题目：8位原码能表示的不同数据有（C）个。\nA. 15\nB. 16\nC. 255\nD. 256\n答案：C. 255,8位原码能表示的不同数据有（）个。\nA. 15\nB. 16\nC. 255\nD. 256,C. 255
计算机组成原理,互联网,选择题,中等,A. 相同位数的补码和移码表示具有相同的数据表示范围\nB. 0的补码和移码表示相同\nC. 同一个数的补码和移码表示，其数值部分相同，而符号相反\nD. 一般用移码表示浮点数的阶码，而补码表示定点整数,补码与移码,题目：下列关于补码和移码关系的叙述中，（B）是不正确的。\nA. 相同位数的补码和移码表示具有相同的数据表示范围\nB. 0的补码和移码表示相同\nC. 同一个数的补码和移码表示，其数值部分相同，而符号相反\nD. 一般用移码表示浮点数的阶码，而补码表示定点整数\n答案：B,下列关于补码和移码关系的叙述中，（）是不正确的。\nA. 相同位数的补码和移码表示具有相同的数据表示范围\nB. 0的补码和移码表示相同\nC. 同一个数的补码和移码表示，其数值部分相同，而符号相反\nD. 一般用移码表示浮点数的阶码，而补码表示定点整数,B. 0的补码和移码表示相同
计算机组成原理,互联网,选择题,中等,A. C2H\nB. BEH\nC. BDH\nD. 42H,补码与十六进制,题目：假定一个十进制数为-66，按补码形式存放在一个8位寄存器中，该寄存器的内容用十六进制表示为（B）。\nA. C2H\nB. BEH\nC. BDH\nD. 42H\n答案：B. BEH,假定一个十进制数为-66，按补码形式存放在一个8位寄存器中，该寄存器的内容用十六进制表示为（）。\nA. C2H\nB. BEH\nC. BDH\nD. 42H,B. BEH
计算机组成原理,互联网,选择题,困难,A. -27\nB. -97\nC. -101\nD. 155,补码计算,题目：设机器数采用补码表示（含1位符号位），若寄存器内容为9BH，则对应的十进制数为（C）。\nA. -27\nB. -97\nC. -101\nD. 155\n答案：C. -101,设机器数采用补码表示（含1位符号位），若寄存器内容为9BH，则对应的十进制数为（）。\nA. -27\nB. -97\nC. -101\nD. 155,C. -101
计算机组成原理,互联网,选择题,简单,A. 原码\nB. 补码\nC. 反码\nD. 移码,原码表示,题目：若寄存器内容为10000000，若它等于-0，则为（A）。\nA. 原码\nB. 补码\nC. 反码\nD. 移码\n答案：A. 原码,若寄存器内容为10000000，若它等于-0，则为（）。\nA. 原码\nB. 补码\nC. 反码\nD. 移码,A. 原码
计算机组成原理,互联网,选择题,中等,A. 反码\nB. 补码\nC. 原码\nD. 移码,移码表示,题目：若寄存器内容为11111111，若它等于+127，则为（D）。\nA. 反码\nB. 补码\nC. 原码\nD. 移码\n答案：D. 移码,若寄存器内容为11111111，若它等于+127，则为（）。\nA. 反码\nB. 补码\nC. 原码\nD. 移码,D. 移码
计算机组成原理,互联网,选择题,中等,A. 原码\nB. 补码\nC. 反码\nD. 移码,补码表示,题目：若寄存器内容为11111111，若它等于-1，则为（B）。\nA. 原码\nB. 补码\nC. 反码\nD. 移码\n答案：B. 补码,若寄存器内容为11111111，若它等于-1，则为（）。\nA. 原码\nB. 补码\nC. 反码\nD. 移码,B. 补码
计算机组成原理,互联网,简答题,中等,无,计算机体系结构,题目：冯·诺依曼计算机的特点是什么？答案：(1) 计算机由运算器、存储器、寄存器、输入设备和输出设备组成。(2) 数据和指令是以二进制的形式存储在存储器中的，我们可以通过地址的方式访问到他们。(3) 指令分为两部分: 地址码和操作码，地址码是对操作对象的解释，而操作码是对操作方法的解释。(4) 指令是按照顺序进行存入的，一般也是按照顺序进行执行的。(5) 计算机以运算器为核心（原冯·诺依曼机）。,冯·诺依曼计算机的特点是什么？,(1) 计算机由运算器、存储器、寄存器、输入设备和输出设备组成。(2) 数据和指令是以二进制的形式存储在存储器中的，我们可以通过地址的方式访问到他们。(3) 指令分为两部分: 地址码和操作码，地址码是对操作对象的解释，而操作码是对操作方法的解释。(4) 指令是按照顺序进行存入的，一般也是按照顺序进行执行的。(5) 计算机以运算器为核心（原冯·诺依曼机）。
计算机组成原理,互联网,简答题,中等,无,存储器管理,题目：存储器中的指令和数据是如何区分的？答案：存储器中的指令和数据都是通过二进制的形式保存的，如果直接进行取出，我们也不能判断哪些是指令，哪些是数据，但是，我们可以通过一些手段进行区分，例如取出的时机：如果是在读取指令（微程序）的时候，那么取出的二进制内容就是指令，如果是在执行指令（微程序）的时候取出的则为数据。一般的，数据和指令，都可以成为指令执行的操作对象。,存储器中的指令和数据是如何区分的？,存储器中的指令和数据都是通过二进制的形式保存的，如果直接进行取出，我们也不能判断哪些是指令，哪些是数据，但是，我们可以通过一些手段进行区分，例如取出的时机：如果是在读取指令（微程序）的时候，那么取出的二进制内容就是指令，如果是在执行指令（微程序）的时候取出的则为数据。一般的，数据和指令，都可以成为指令执行的操作对象。
计算机组成原理,互联网,简答题,困难,无,子程序调用,题目：转子指令执行哪些操作，子程序返回指令应该执行哪些操作？答案：转子指令保存返回地址一般有三种方法：(1) 通过子程序的首个字单元保存返回地址，这样做能够使得允许多转子，但是不允许子程序的递归和联锁递归。(2) 通过寄存器保存返回地址，这样既允许多转子，又允许子程序的递归，但是子程序的实现将会变得更加复杂。(3) 通过堆栈保存返回地址，和寄存器保存的效果一样，目前是最广泛使用的一种方法。,转子指令执行哪些操作，子程序返回指令应该执行哪些操作？,转子指令保存返回地址一般有三种方法：(1) 通过子程序的首个字单元保存返回地址，这样做能够使得允许多转子，但是不允许子程序的递归和联锁递归。(2) 通过寄存器保存返回地址，这样既允许多转子，又允许子程序的递归，但是子程序的实现将会变得更加复杂。(3) 通过堆栈保存返回地址，和寄存器保存的效果一样，目前是最广泛使用的一种方法。
计算机组成原理,互联网,简答题,困难,无,补码运算,"题目：设机器码的字长为8位（含1个符号位），并且 A = 15，B = 24，求使用补码计算 A - B。答案：根据题目要求，写出A和B的二进制： A = 0001111_{2}    B = 0011000_{2}因此，我们欲求 A - B，其实可以计算 A + (-B)，A[补] = 0,0001111   -B[补] = 1,1101000相加得 1,1110111, 转换为原码为 -1001(不标准写法) = -9",设机器码的字长为8位（含1个符号位），并且 A = 15，B = 24，求使用补码计算 A - B。,"根据题目要求，写出A和B的二进制： A = 0001111_{2}    B = 0011000_{2}因此，我们欲求 A - B，其实可以计算 A + (-B)，A[补] = 0,0001111   -B[补] = 1,1101000相加得 1,1110111, 转换为原码为 -1001(不标准写法) = -9"
计算机组成原理,互联网,简答题,中等,无,中断机制,题目：CPU中断控制部件有哪些功能？答案：CPU中断部件是实现中断功能的软件和硬件，有如下的功能:(1) 允许和禁止中断请求(2) 保护和恢复中断现场(3) 将程序转向对应的中断服务程序(4) 在多个中断同时发生时进行判优裁决。,CPU中断控制部件有哪些功能？,CPU中断部件是实现中断功能的软件和硬件，有如下的功能:(1) 允许和禁止中断请求(2) 保护和恢复中断现场(3) 将程序转向对应的中断服务程序(4) 在多个中断同时发生时进行判优裁决。
计算机组成原理,互联网,简答题,中等,无,存储器管理,题目：如何区分指令和数据？答案：区分指令和数据有两种办法：(1) 通过取出时机来判断: 如果是在取指令（微程序）的时候，取出的就是指令，如果是在执行指令（微程序）的时候，取出的时数据。(2) 通过地址来源来区分：如果是由 PC（程序计数器）提供的存储单元地址，那么取出的为指令，如果是地址码提供的存储单元地址，那么取出来的是数据。,如何区分指令和数据？,区分指令和数据有两种办法：(1) 通过取出时机来判断: 如果是在取指令（微程序）的时候，取出的就是指令，如果是在执行指令（微程序）的时候，取出的时数据。(2) 通过地址来源来区分：如果是由 PC（程序计数器）提供的存储单元地址，那么取出的为指令，如果是地址码提供的存储单元地址，那么取出来的是数据。
计算机组成原理,互联网,简答题,简单,无,计算机组成,题目：CPU PC IR CU ALU ACC MQ X MAR MDR I/O MIPS的含义是什么？答案：CPU: 中央处理器（机）。PC: 程序计数器。IR: 指令寄存器。CU: 控制单元。ALU：计算逻辑运算单元。MQ: 乘商寄存器。X：没有专指的部件名，在这里可以标识操作数寄存器。MAR: 存储器地址寄存器。MDR: 存储器数据缓冲寄存器。I/O: 输入/输出设备。MIPS：每秒执行百万条指令数。,CPU PC IR CU ALU ACC MQ X MAR MDR I/O MIPS的含义是什么？,CPU: 中央处理器（机）。PC: 程序计数器。IR: 指令寄存器。CU: 控制单元。ALU：计算逻辑运算单元。MQ: 乘商寄存器。X：没有专指的部件名，在这里可以标识操作数寄存器。MAR: 存储器地址寄存器。MDR: 存储器数据缓冲寄存器。I/O: 输入/输出设备。MIPS：每秒执行百万条指令数。
